   10000      1    6.1390e+02     1
  150080   O 15    1.2224e+02     1
   1:   1.0000e+00   150070 2.7542e+06   EC
  160080   O 16      STABLE       0
  170080   O 17      STABLE       0
  180080   O 18      STABLE       0
  190080   O 19    2.6880e+01     1
   1:   1.0000e+00   190090 4.8196e+06   B 
  200080   O 20    1.3510e+01     1
   1:   1.0000e+00   200090 3.8143e+06   B 
  210080   O 21    3.4200e+00     1
   1:   1.0000e+00   210090 8.1100e+06   B 
  220080   O 22    2.2500e+00     2
   1:   7.8000e-01   220090 6.4882e+06   B 
   2:   2.2000e-01   210090 1.2604e+06   B  N 
  230080   O 23    9.0500e-02     2
   1:   6.9000e-01   230090 1.1311e+07   B 
   2:   3.1000e-01   220090 3.7483e+06   B  N 
  240080   O 24    6.5000e-02     2
   1:   4.2000e-01   240090 1.0941e+07   B 
   2:   5.8000e-01   230090 7.6693e+06   B  N 
  250080   O 25    5.0000e-08     1
   1:   1.0000e+00   240080 7.7600e+05   N 
  260080   O 26    4.0000e-08     1
   1:   1.0000e+00   250080 2.8200e+05   N 
  270080   O 27    2.6000e-07     1
   1:   1.0000e+00   260080 8.8300e+05   N 
  280080   O 28    1.0000e-07     1
   1:   1.0000e+00   270080 7.3100e+05   N 
  140090   F 14    5.0007e-22     1
   1:   1.0000e+00   130080 1.5600e+06   P 
  150090   F 15    4.5570e-22     1
   1:   1.0000e+00   140080 1.5165e+06   P 
  160090   F 16    1.1392e-20     1
   1:   1.0000e+00   150080 5.3568e+05   P 
  170090   F 17    6.4490e+01     1
   1:   1.0000e+00   170080 2.7608e+06   EC
  180090   F 18    6.5862e+03     1
   1:   1.0000e+00   180080 1.6553e+06   EC
  190090   F 19      STABLE       0
  200090   F 20    1.1163e+01     1
   1:   1.0000e+00   200100 7.0245e+06   B 
  210090   F 21    4.1580e+00     1
   1:   1.0000e+00   210100 5.6842e+06   B 
  220090   F 22    4.2300e+00     1
   1:   1.0000e+00   220100 1.0818e+07   B 
  230090   F 23    2.2300e+00     1
   1:   1.0000e+00   230100 8.4838e+06   B 
  240090   F 24    3.9000e-01     2
   1:   9.4100e-01   240100 1.3511e+07   B 
   2:   5.9000e-02   230100 4.6422e+06   B  N 
  250090   F 25    5.0000e-02     2
   1:   8.6000e-01   250100 1.3423e+07   B 
   2:   1.4000e-01   240100 9.1529e+06   B  N 
  260090   F 26    9.6000e-03     2
   1:   8.9000e-01   260100 1.8186e+07   B 
   2:   1.1000e-01   250100 1.2309e+07   B  N 
  270090   F 27    5.0000e-03     2
   1:   2.3000e-01   270100 1.7594e+07   B 
   2:   7.7000e-01   260100 1.6426e+07   B  N 
  280090   F 28    4.0000e-08     1
   1:   1.0000e+00   280100 2.1800e+07   B 
  290090   F 29    2.5000e-03     1
   1:   1.0000e+00   280100 2.0981e+07   B  N 
  300090   F 30    2.6000e-07     1
   1:   1.0000e+00   290090 3.7700e+05   N 
  310090   F 31    2.5000e-07     2
   1:   5.0000e-01   310100 2.5124e+07   B 
   2:   5.0000e-01   300100 2.5116e+07   B  N 
  160100  Ne 16    3.7352e-21     1
   1:   1.0000e+00   140080 1.4110e+06   P  P 
  170100  Ne 17    1.0920e-01     1
   1:   1.0000e+00   160080 1.3909e+07   EC P 
  180100  Ne 18    1.6720e+00     1
   1:   1.0000e+00   180090 4.4457e+06   EC
  190100  Ne 19    1.7220e+01     1
   1:   1.0000e+00   190090 3.2384e+06   EC
  200100  Ne 20      STABLE       0
  210100  Ne 21      STABLE       0
  220100  Ne 22      STABLE       0
  230100  Ne 23    3.7240e+01     1
   1:   1.0000e+00   230110 4.3758e+06   B 
  240100  Ne 24    2.0280e+02     1
   1:   1.0000e+00   240111 1.9944e+06   B 
  250100  Ne 25    6.0200e-01     1
   1:   1.0000e+00   250110 7.2500e+06   B 
  260100  Ne 26    1.9700e-01     2
   1:   9.9870e-01   260110 7.3400e+06   B 
   2:   1.3000e-03   250110 1.7660e+06   B  N 
  270100  Ne 27    3.2000e-02     2
   1:   9.8000e-01   270110 1.2553e+07   B 
   2:   2.0000e-02   260110 5.8610e+06   B  N 
  280100  Ne 28    1.8900e-02     3
   1:   8.4500e-01   280110 1.2280e+07   B 
   2:   1.1900e-01   270110 8.6907e+06   B  N 
   3:   3.6000e-02   260110 1.9650e+06   B  N  N 
  290100  Ne 29    1.4800e-02     3
   1:   6.8000e-01   290110 1.5730e+07   B 
   2:   2.8000e-01   280110 1.0976e+07   B  N 
   3:   4.0000e-02   270110 7.7748e+06   B  N  N 
  300100  Ne 30    7.3000e-03     3
   1:   7.8100e-01   300110 1.4665e+07   B 
   2:   1.3000e-01   290110 1.2366e+07   B  N 
   3:   8.9000e-02   280110 7.8853e+06   B  N  N 
  310100  Ne 31    3.4000e-03     1
   1:   1.0000e+00   310110 1.8281e+07   B 
  320100  Ne 32    3.5000e-03     1
   1:   1.0000e+00   320110 1.8189e+07   B 
  330100  Ne 33    1.8000e-07     1
   1:   1.0000e+00   320100 9.2700e+05   N 
  340100  Ne 34    6.0000e-08     2
   1:   5.0000e-01   340110 2.1553e+07   B 
   2:   5.0000e-01   330110 2.0160e+07   B  N 
  180110  Na 18    1.3000e-21     1
   1:   1.0000e+00   170100 1.2510e+06   P 
