# Fission Barrier Parameters in JENDL-4.0
# taken from Table 4 in Actinoid files, by O. Iwamoto
#
#     Z  At  Acn    V1      hw1     V2      hw2
#                  [MeV]   [MeV]   [MeV]   [MeV]
#
  Np  93 238 236   6.100   0.600   6.080   0.600
  Np  93 238 235   6.250   0.950   5.630   0.600
  Np  93 239 240   6.200   0.460   5.850   0.370
  Np  93 239 239   6.250   0.800   5.200   0.600
  Np  93 239 238   6.200   0.460   5.850   0.370
  Np  93 239 237   6.250   0.950   5.200   0.600
  Np  93 239 236   6.200   0.600   5.850   0.400
  Pu  94 236 237   5.800   0.800   5.800   0.520
  Pu  94 236 236   6.000   1.040   5.000   0.600
  Pu  94 236 235   6.000   0.800   5.000   0.520
  Pu  94 236 234   5.600   1.040   4.600   0.600
  Pu  94 237 238   5.300   1.040   5.850   0.600
  Pu  94 237 237   5.800   0.800   5.800   0.520
  Pu  94 237 236   6.000   1.040   5.000   0.600
  Pu  94 237 235   6.000   0.800   5.000   0.520
  Pu  94 237 234   5.600   1.040   4.600   0.600
  Pu  94 238 239   6.050   0.700   5.700   0.600
  Pu  94 238 238   5.500   0.600   4.800   0.600
  Pu  94 238 237   5.800   0.800   5.800   0.520
  Pu  94 238 236   6.000   1.040   5.000   0.600
  Pu  94 239 240   6.250   1.040   5.000   0.600
  Pu  94 239 239   5.750   0.700   5.550   0.600
  Pu  94 239 238   5.400   0.700   5.100   0.600
  Pu  94 239 237   5.800   0.800   5.800   0.520
  Pu  94 239 236   6.000   1.040   5.000   0.600
  Pu  94 240 241   5.949   0.580   5.478   0.520
  Pu  94 240 240   6.150   1.040   4.900   0.600
  Pu  94 240 239   6.050   0.700   5.700   0.600
  Pu  94 240 238   6.000   1.040   4.800   0.600
  Pu  94 240 237   5.800   0.800   5.800   0.520
  Pu  94 241 242   6.172   0.998   4.674   0.600
  Pu  94 241 241   5.795   0.580   5.487   0.520
  Pu  94 241 240   6.250   1.040   4.920   0.600
  Pu  94 241 239   6.050   0.700   5.700   0.600
  Pu  94 241 238   6.000   1.040   4.800   0.600
  Pu  94 242 243   5.750   0.680   5.520   0.520
  Pu  94 242 242   6.100   1.000   4.850   0.600
  Pu  94 242 241   5.950   0.580   5.480   0.520
  Pu  94 242 240   6.250   1.040   4.920   0.600
  Pu  94 242 239   6.050   0.700   5.700   0.600
  Pu  94 244 245   5.600   0.530   5.300   0.520
  Pu  94 244 244   6.000   1.040   4.700   0.600
  Pu  94 244 243   5.750   0.680   5.520   0.520
  Pu  94 244 242   6.150   1.000   4.800   0.600
  Pu  94 244 241   5.950   0.580   5.480   0.520
  Pu  94 246 247   5.600   0.530   5.300   0.520
  Pu  94 246 246   6.000   1.040   4.700   0.600
  Pu  94 246 245   5.600   0.530   5.300   0.520
  Pu  94 246 244   6.000   1.040   4.700   0.600
  Pu  94 246 243   5.750   0.680   5.520   0.520
  Am  95 240 241   6.200   0.800   5.750   0.520
  Am  95 240 240   6.100   0.650   6.000   0.450
  Am  95 240 239   6.000   0.800   5.400   0.520
  Am  95 240 238   5.700   0.650   2.100   0.450
  Am  95 240 237   5.100   0.800   2.000   0.520
  Am  95 241 242   6.510   0.600   6.050   0.550
  Am  95 241 241   6.100   0.800   5.500   0.520
  Am  95 241 240   6.000   0.650   5.600   0.450
  Am  95 241 239   6.000   0.800   5.400   0.520
  Am  95 241 238   5.700   0.650   2.100   0.450
  Am  95 242 243   6.200   0.800   5.150   0.520
  Am  95 242 242   6.410   0.600   5.800   0.550
  Am  95 242 241   6.100   0.800   5.500   0.520
