   1:   1.0000e+00   430180 7.6872e+06   B 
  450170  Cl 45    4.1000e-01     2
   1:   7.6000e-01   450180 1.1411e+07   B 
   2:   2.4000e-01   440180 6.2422e+06   B  N 
  310180  Ar 31    1.4400e-02     2
   1:   3.7000e-01   310170 1.8360e+07   EC
   2:   6.3000e-01   300160 1.8064e+07   EC P 
  320180  Ar 32    9.8000e-02     2
   1:   6.4420e-01   320170 1.1134e+07   EC
   2:   3.5580e-01   310160 9.5532e+06   EC P 
  330180  Ar 33    1.7300e-01     2
   1:   6.1200e-01   330170 1.1619e+07   EC
   2:   3.8800e-01   320160 9.3423e+06   EC P 
  340180  Ar 34    8.4500e-01     1
   1:   1.0000e+00   340170 6.0618e+06   EC
  350180  Ar 35    1.7750e+00     1
   1:   1.0000e+00   350170 5.9661e+06   EC
       0      0      STABLE       0
  370180  Ar 37    3.0270e+06     1
   1:   1.0000e+00   370170 8.1387e+05   EC
       0      0      STABLE       0
  390180  Ar 39    8.4900e+09     1
   1:   1.0000e+00   390190 5.6500e+05   B 
       0      0      STABLE       0
  410180  Ar 41    6.5766e+03     1
   1:   1.0000e+00   410190 2.4920e+06   B 
  420180  Ar 42    1.0400e+09     1
   1:   1.0000e+00   420190 5.9935e+05   B 
  430180  Ar 43    3.2200e+02     1
   1:   1.0000e+00   430190 4.5656e+06   B 
  440180  Ar 44    7.1200e+02     1
   1:   1.0000e+00   440190 3.1082e+06   B 
  450180  Ar 45    2.1480e+01     1
   1:   1.0000e+00   450190 6.8448e+06   B 
  460180  Ar 46    8.4000e+00     1
   1:   1.0000e+00   460190 5.6832e+06   B 
  470180  Ar 47    1.2300e+00     1
   1:   1.0000e+00   470190 1.0501e+07   B 
  350190   K 35    1.9000e-01     3
   1:   9.9630e-01   350180 1.1874e+07   EC
   2:   1.4000e-03   340170 5.9782e+06   EC P 
   3:   2.3000e-03   340171 5.8319e+06   EC P 
  360190   K 36    3.4200e-01     3
   1:   9.9949e-01   360180 1.2814e+07   EC
   2:   4.8000e-04   350170 4.3075e+06   EC P 
   3:   3.1000e-05   320160 6.1640e+06   EC A 
  370190   K 37    1.2260e+00     1
   1:   1.0000e+00   370180 6.1474e+06   EC
  380190   K 38    4.5820e+02     1
   1:   1.0000e+00   380180 5.9141e+06   EC
  380191   K 38m1  9.2400e-01     1
   1:   1.0000e+00   380180 6.0445e+06   EC
       0      0      STABLE       0
  400190   K 40    3.9380e+16     2
   1:   8.9140e-01   400200 1.3109e+06   B 
   2:   1.0860e-01   400180 1.5044e+06   EC
       0      0      STABLE       0
  420190   K 42    4.4500e+04     1
   1:   1.0000e+00   420200 3.5252e+06   B 
  430190   K 43    8.0300e+04     1
   1:   1.0000e+00   430200 1.8334e+06   B 
  440190   K 44    1.3280e+03     1
   1:   1.0000e+00   440200 5.6872e+06   B 
  450190   K 45    1.0700e+03     1
   1:   1.0000e+00   450200 4.1965e+06   B 
  460190   K 46    1.0500e+02     1
   1:   1.0000e+00   460200 7.7245e+06   B 
  470190   K 47    1.7500e+01     1
   1:   1.0000e+00   470200 6.6315e+06   B 
  480190   K 48    6.8000e+00     1
   1:   1.0000e+00   480200 1.1940e+07   B 
  490190   K 49    1.2600e+00     2
   1:   1.4000e-01   490200 1.1688e+07   B 
   2:   8.6000e-01   480200 6.5420e+06   B  N 
  500190   K 50    4.7200e-01     2
   1:   7.1000e-01   500200 1.3861e+07   B 
   2:   2.9000e-01   490200 7.5007e+06   B  N 
  360200  Ca 36    1.0200e-01     2
   1:   4.8800e-01   360190 1.0966e+07   EC
   2:   5.1200e-01   350180 9.3073e+06   EC P 
